"Timestamp","Jsem pracovník","Jsem z fakulty / odjinud","Jsem","O dění na UP jsem vnitřními informačními kanály informován(a)","Dění na UP ohledně vzniku Vysokoškolského ústavu (dále VŠÚ)","Informace získávám","Současné dění okolo VŠÚ na UP považuji za záležitost","Se způsobem, jakým se na UP řeší vznik VŠÚ, jsem","Na dění na UP ohledně vzniku VŠÚ","Na dění na UP ohledně etických kauz","K dění na UP ohledně vzniku VŠÚ","K dění na UP v etických kauzách","Svůj názor na dění na UP ohledně vzniku VŠÚ","Svůj názor na dění na UP ohledně etických kauz","Domníváte se, že některé etické kauzy je potřeba vyřešit před vznikem VŠÚ?","Současné etické kauzy na UP I","Současné etické kauzy na UP II","Dění okolo Etické komise UP","Etické podněty ohledně možného falšování dat považuji za","Etické podněty k chování, komunikaci, práci či rozhodování některých zaměstnanců či vedoucích pracovníků považuji za","Roli univerzitního ombudsmana/ky","Postoje a postup vedení UP v řešení vzniku VŠÚ považuji za","Postoje a postup vedení UP v řešení etických kauz považuji za","Způsob řešení problémů na UP ze strany vedení UP považuji za ","Univerzitu Palackého považuji z hlediska mé vědecké, pedagogické či jiné práce","Ad případný vznik VŠÚ na UP","Mám možnost se svobodně rozhodnout, zda ve VŠÚ chci pracovat nebo ne","Pokud bych měl možnost se rozhodnout, pak bych do VŠÚ ","O anketě jsem se dozvěděl(a) ","Anketu jsem uvítal(a)","Rád budu seznámen(a) s výsledky (budou zveřejněny na UP reflexi)","Comment"
"2020/02/22 11:56:46 AM GMT+1","mladší výzkumný pracovník/pracovnice (do 5 let od PhD)","PřF","muž","spíše nedostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","občas vyjadřuji veřejně svůj názor","často vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nedovedu posoudit","účelové","bych spíše uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","spíše ano","nechtěl(a) vstoupit","od kolegy/ně","ano","ano",""
"2020/02/22 11:57:11 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","FTK","muž","spíše dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","z části účelové","bych spíše uvítal(a)","zaujaté","zaujaté","spíše netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","rozhodně ne","nechtěl(a) vstoupit","z UP reflexe","ano","ano",""
"2020/02/22 11:59:31 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","FF","muž","spíše dostatečně","zběžně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí","celé univerzity","spíše nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","Pokud bych byl schopen zcela relevantně posoudit problematiku dané kauzy, potom bych byl schopen svůj názor veřejně formulovat a podepsat se pod něj. Vzhledem k tomu, že oborově se ani vzdáleně neprotínám s diskutovanou problematikou, necítím se být kompetentní vyjadřovat se zejména k odborným otázkám, které v celé věci chápu jako jedny z fundamentálních.. ","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","z části účelové","nemám vyhraněný názor","mírně zaujaté","mírně zaujaté","spíše netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","nemám jasný názor","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","ano","ano",""
"2020/02/22 11:59:48 AM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","rektorátu UP","muž","spíše dostatečně","pravidelně sleduji","z www stránek UP;z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","účelové","je zcela zbytečná","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","ano","ano",""
"2020/02/22 12:00:01 PM GMT+1","mladší výzkumný pracovník/pracovnice (do 5 let od PhD)","PřF","muž","spíše nedostatečně","pravidelně sleduji","z Newsletteru UP;z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů","celé univerzity","nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","z části účelové","z části účelové","bych spíše uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","spíše ano","možná vstoupil(a), ale ne za současných podmínek","od kolegy/ně","ano","ano",""
"2020/02/22 12:11:17 PM GMT+1","mladší výzkumný pracovník/pracovnice (do 5 let od PhD)","PřF","žena","nedostatečně","zběžně sleduji","z vnitřní platformy UP reflexe","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","z části účelové","je spíše zbytečná","zaujaté","zaujaté","rozhodně netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","je mi to jedno","ano",""
"2020/02/22 12:17:04 PM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","PřF;bývalý/á student(ka) UP","žena","spíše nedostatečně","zběžně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů","celé univerzity","spíše nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","nedovedu posoudit","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","z části účelové","bych spíše uvítal(a)","zaujaté","zaujaté","spíše netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","rozhodně ano","možná vstoupil(a), ale ne za současných podmínek","z UP reflexe","ano","ano",""
"2020/02/22 12:22:11 PM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","FF","muž","spíše nedostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze zpravodajských serverů;ze serveru Věda a výzkum;z jiných médií","celé univerzity","spíše nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","z části účelové","nemám vyhraněný názor","zaujaté","mírně zaujaté","rozhodně netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","je mi to jedno","spíše ano",""
"2020/02/22 12:26:18 PM GMT+1","PhD student(ka)","PřF","muž","spíše dostatečně","pravidelně sleduji","z Newsletteru UP;z vnitřní platformy UP reflexe;z dŽurnálu;ze serveru Věda a výzkum;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","z části účelové","účelové","nemám vyhraněný názor","zaujaté","zaujaté","rozhodně netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","nemám jasný názor","nevím / netýká se mne","možná vstoupil(a), ale ne za současných podmínek","od kolegy/ně","ano","ano",""
"2020/02/22 12:27:02 PM GMT+1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/02/22 12:31:46 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","FF","žena","dostatečně","zběžně sleduji","z vnitřní platformy UP reflexe","celé univerzity","nemám jasný názor","nemám utvořen vlastní názor","nemám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","Bych se obával vyjádřit, protože problému nerozumím.","Bych se obával vyjádřit, protože nemám dostatečný vhled do kauz.","nedovedu posoudit","nepokládám za problém za hranicí obvyklých problémů na instituci podobného typu","pokládám za nepříliš dobře řešené","považuji za korektní","nedovedu posoudit","nedovedu posoudit","bych spíše uvítal(a)","korektní","korektní","spíše transparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","spíše jsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","spíše ano","spíše ano",""
"2020/02/22 12:32:27 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","spíše nedostatečně","pravidelně sleduji","z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","často vyjadřuji veřejně svůj názor","často vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","rozhodně ano","nechtěl(a) vstoupit","z UP reflexe","ano","ano",""
"2020/02/22 12:37:17 PM GMT+1","PhD student(ka)","PřF","žena","spíše nedostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","možná vstoupil(a), ale ne za současných podmínek","od kolegy/ně","ano","ano",""
"2020/02/22 12:38:12 PM GMT+1","","PřF","žena","spíše nedostatečně","pravidelně sleduji","z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","názor si neustále tvořím","občas vyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","z části účelové","je spíše zbytečná","zaujaté","zaujaté","rozhodně netransparentní","za místo bez problémů","spíše nejsem pro vznik VŠÚ","nevím / netýká se mne","nechtěl(a) vstoupit","z UP reflexe","ano","ano",""
"2020/02/22 12:51:23 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","spíše dostatečně","pravidelně sleduji","z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","z části účelové","nemám vyhraněný názor","zaujaté","zaujaté","spíše netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","spíše ano","možná vstoupil(a), ale ne za současných podmínek","od kolegy/ně","ano","ano",""
"2020/02/22 1:03:35 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","žena","spíše dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","nepovažuji za účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","spíše netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše jsem pro vznik VŠÚ","spíše ano","spíše chtěl(a) vstoupit","z UP reflexe","ano","ano",""
